date,game_pk,away,home,away_name,home_name,away_sp_name,home_sp_name,p_home_win,pick,confidence,fair_ml_home,game_time,p_over_8_5,p_over_9_5,p_one_run,p_extras,p_home_by_1,p_away_by_1,p_home_win_and_over,p_away_win_and_over,p_both_score,p_margin_ge3,exp_total,exp_home_runs,exp_away_runs,p_f5_home_lead,p_f5_over_4_5,p_f5_tie,temp_f,humidity,air_density_index,wind_out,gust_out,is_closed
2026-08-01,822781,SLN,TOR,St. Louis Cardinals,Toronto Blue Jays,Quinn Mathews,Kevin Gausman,0.4652995089700487,St. Louis Cardinals,0.5347004910299513,115,3:07 PM ET,0.48641666666666666,0.3939166666666667,0.2915,0.09566666666666666,0.17108333333333334,0.12041666666666667,0.21775,0.26866666666666666,0.8680833333333333,0.5315833333333333,8.96675,4.296900327372422,4.554690048587423,0.40325,0.4885833333333333,0.16033333333333333,80.7,66.0,0.939785744494285,2.1999618833714263,2.5364266420047032,0
2026-08-01,823109,MIN,SEA,Minnesota Twins,Seattle Mariners,Connor Prielipp,Logan Gilbert,0.5431248269816358,Seattle Mariners,0.5431248269816358,-119,4:10 PM ET,0.49525,0.40075,0.29075,0.09441666666666666,0.17633333333333334,0.11441666666666667,0.26125,0.234,0.8745,0.5343333333333333,9.088916666666666,4.664485801776519,4.359649320834305,0.4538333333333333,0.4999166666666667,0.14658333333333334,70.3,61.0,0.9776326098335957,14.875257724851652,22.89244208305092,0
2026-08-01,822944,CHA,TBA,Chicago White Sox,Tampa Bay Rays,Jordan Hicks,Drew Rasmussen,0.533888191639963,Tampa Bay Rays,0.533888191639963,-115,4:10 PM ET,0.46016666666666667,0.36375,0.29583333333333334,0.10058333333333333,0.181,0.11483333333333333,0.24175,0.21841666666666668,0.85275,0.52375,8.627333333333333,4.413557637683136,4.163103887863066,0.44475,0.472,0.15783333333333333,85.6,69.0,0.9403505931457157,0.0,0.0,1
2026-08-01,823594,MIA,NYN,Miami Marlins,New York Mets,Tyler Phillips,Zac Thornton,0.4913232202062141,Miami Marlins,0.5086767797937859,104,4:10 PM ET,0.5191666666666667,0.42633333333333334,0.2806666666666667,0.08966666666666667,0.1675,0.11316666666666667,0.24291666666666667,0.27625,0.87375,0.541,9.359833333333333,4.419328242776896,4.852632206128637,0.4266666666666667,0.51675,0.14833333333333334,85.1,53.0,0.9445646976193225,12.223599029668671,16.71756926116451,0
2026-08-01,824485,PIT,CIN,Pittsburgh Pirates,Cincinnati Reds,Braxton Ashcraft,Andrew Abbott,0.48385630546319297,Pittsburgh Pirates,0.516143694536807,107,6:40 PM ET,0.4890833333333333,0.3919166666666667,0.29275,0.09625,0.16758333333333333,0.12516666666666668,0.22283333333333333,0.26625,0.8596666666666667,0.5268333333333334,8.94575,4.302033190823325,4.527344186345496,0.41841666666666666,0.49033333333333334,0.14958333333333335,76.1,88.0,0.933519790908135,-7.091389316994876,-20.13954566026545,0
2026-08-01,824808,PHI,BAL,Philadelphia Phillies,Baltimore Orioles,Cristopher Sánchez,Shane Baz,0.508118579317853,Baltimore Orioles,0.508118579317853,-103,7:05 PM ET,0.4876666666666667,0.39566666666666667,0.2930833333333333,0.0985,0.17708333333333334,0.116,0.24025,0.24741666666666667,0.8645,0.5279166666666667,8.92025,4.438094087461486,4.473475439934266,0.4245833333333333,0.48675,0.15666666666666668,85.7,49.0,0.9415314816222593,3.977884239952834,7.131522195951477,0
2026-08-01,824162,TEX,HOU,Texas Rangers,Houston Astros,Jacob deGrom,Ronel Blanco,0.48332846947426616,Texas Rangers,0.5166715305257339,107,7:10 PM ET,0.5313333333333333,0.43883333333333335,0.27958333333333335,0.08708333333333333,0.1645,0.11508333333333333,0.24858333333333332,0.28275,0.87775,0.5434166666666667,9.432166666666667,4.641540977607753,4.754281223919332,0.42291666666666666,0.5230833333333333,0.14291666666666666,95.5,48.0,0.9193101510872849,0.07330010703659112,0.16754310179792253,0
2026-08-01,824405,AZ,CLE,Arizona Diamondbacks,Cleveland Guardians,Kohl Drake,Parker Messick,0.49200109000138154,Arizona Diamondbacks,0.5079989099986184,103,7:15 PM ET,0.5016666666666667,0.40358333333333335,0.28491666666666665,0.09941666666666667,0.17108333333333334,0.11383333333333333,0.23766666666666666,0.264,0.8714166666666666,0.5381666666666667,9.089666666666666,4.451904782237265,4.499945257363718,0.422,0.49566666666666664,0.15091666666666667,84.1,42.0,0.9215630685943015,2.4748737341529163,7.919595949289333,0
2026-08-01,824890,WAS,ATL,Washington Nationals,Atlanta Braves,Miles Mikolas,Reynaldo López,0.6101694056861663,Atlanta Braves,0.6101694056861663,-157,7:15 PM ET,0.5345,0.4414166666666667,0.28008333333333335,0.09275,0.17741666666666667,0.10266666666666667,0.3239166666666667,0.21058333333333334,0.8785,0.5489166666666667,9.50275,5.115003127003595,4.389397808533752,0.507,0.534,0.13966666666666666,87.9,53.0,0.901154934413711,-4.610297598828882,-7.100918140724945,0
2026-08-01,824649,NYA,CHN,New York Yankees,Chicago Cubs,Max Fried,David Peterson,0.5259290689650071,Chicago Cubs,0.5259290689650071,-111,7:15 PM ET,0.4723333333333333,0.3749166666666667,0.29891666666666666,0.09866666666666667,0.18133333333333335,0.11758333333333333,0.24391666666666667,0.22841666666666666,0.85425,0.5193333333333333,8.75425,4.371707486693337,4.379303222804512,0.443,0.47925,0.15333333333333332,69.6,89.0,0.9466453436088882,-14.431225167800031,-30.34930383773704,0
